param_hidden_layer_sizes,param_alpha,param_max_iter,std_test_score,std_train_score,rank_test_score,mean_test_mse,mean_train_mse
"(3,)",0.0001,500,0.12549069134907517,0.10047078231798708,1,0.44166940277193606,0.5862143111031596
"(10,)",0.0001,100,0.14745690745692835,0.07943875024158502,2,0.4437156372043356,0.5532894547623123
"(60,)",0.001,100,0.1451091699184229,0.07282850782188983,3,0.4446557867977129,0.5005393733129312
"(10,)",0.001,100,0.14820363326727068,0.07937299690974897,4,0.4447865072724017,0.5534513804393341
"(3,)",0.1,500,0.12537007198990976,0.09631389092492536,5,0.4461196921647935,0.5895063956233833
"(60,)",0.1,500,0.1504052617937517,0.060482066556490036,6,0.4499716011974438,0.5022336590375179
"(10,)",0.001,500,0.16215457181250864,0.06356701833683438,7,0.45205603302585723,0.5256146057076457
"(10,)",0.001,300,0.16361243725173377,0.06668225012345616,8,0.4550790010063078,0.5278370909011395
"(60,)",0.0001,100,0.15823516435281712,0.07233295263905032,9,0.45801284256120034,0.499041282544973
"(7,)",0.01,500,0.1456563753230978,0.07239191940885234,10,0.46326061207693525,0.5487833288729872
"(7,)",0.01,1000,0.1456563753230978,0.07239191940885234,10,0.46326061207693525,0.5487833288729872
"(7,)",0.01,2000,0.1456563753230978,0.07239191940885234,10,0.46326061207693525,0.5487833288729872
"(100,)",0.01,1000,0.1383534432989625,0.06929310713134366,13,0.47196933211822767,0.45854593032542706
"(7,)",0.0001,1000,0.15759902752577287,0.07069269230883304,14,0.47986647986504194,0.546675734183223
"(7,)",0.0001,500,0.15759902752577287,0.07069269230883304,14,0.47986647986504194,0.546675734183223
"(7,)",0.001,2000,0.1640815014681093,0.06945883867669485,16,0.4820219663234068,0.5483647048818402
"(30,)",0.001,1000,0.10676910260388632,0.05990679052225587,17,0.48739737627527796,0.4797927015753678
"(150,)",0.01,2000,0.16208531505907922,0.055372669633973595,18,0.5005128177468906,0.43338075757844796
"(150,)",0.0001,500,0.179250225145636,0.0588585595192897,19,0.5860277059670642,0.4210557437099009
"(1,)",0.1,200,0.11851569919073766,0.09913136778037751,20,0.6430084793641415,0.8593502371941302
